date,source.name,title,description,content,title_len,description_len
2026-06-15,Dailymail.com,NASA's 'Son of Concorde' breaks the sound barrier: $247 million supersonic jet hits 713mph during test flight - paving the way for flights from London to New York in under 4 hours,"NASA's 'Son of Concorde' supersonic aircraft has broken the sound barrier for the first time, paving the way for ultra-fast air travel.","NASA's 'Son of Concorde' supersonic aircraft has broken the sound barrier for the first time, paving the way for ultrafast air travel.
The $247 million jet, dubbed X59, hit a top speed of Mach 1.1, … [+8172 chars]",179,135
2026-06-13,OilPrice.com,UK Sets January 2027 Deadline for Ban on Fuel Made From Russian Crude,"The UK has finally put a date on the sanctions loophole it said it would close a while ago. The British government said Friday that imports of diesel and jet fuel refined from Russian crude in third countries will be banned no later than January 1, 2027, clos…","Oil traders are increasingly betting…
British Airways says airfares will…
By Julianne Geiger - Jun 13, 2026, 12:30 PM CDTThe UK has finally put a date on the sanctions loophole it said it would clo… [+2175 chars]",69,260
2026-06-13,Fly4free.com,British Airways direct flights from London to South East Asia   from £573,"Dreaming of tropical beaches, vibrant cities, and unforgettable adventures? Take advantage of these fantastic British Airways direct flights from London to South East Asia, with fares starting from just £573 return.","Dreaming of tropical beaches, vibrant cities, and unforgettable adventures? Take advantage of these fantastic British Airways direct flights from London to South East Asia, with fares starting from j… [+3407 chars]",73,215
2026-06-13,Fly4free.com,British Airways non-stop flights from London to Sri Lanka from  £587,"Unlock paradise with these British Airways non-stop flights from London to Sri Lanka starting at just £587 for a round trip! Whether you're seeking sun-drenched beaches, adventure in misty mountains, or rich cultural heritage, Sri Lanka offers a magical escap…","Unlock paradise with these British Airways non-stop flights from London to Sri Lanka starting at just £587 for a round trip! Whether you’re seeking sun-drenched beaches, adventure in misty mountains,… [+2429 chars]",68,260
2026-06-12,The Points Guy,Airline carry-on bag size policies: Everything you need to know,"Carry-on baggage size requirements can differ based on airline and destination, so here are some rules to keep in mind.","The packing process can be one of the most stressful parts of flying, especially if you're trying to cram everything into a carry-on to avoid checking a bag.
Regardless of whether you are flying wit… [+7745 chars]",63,119
2026-06-12,The Irish Times,European shares rally on Middle East peace hopes and SpaceX IPO,Travel stocks and financials among those to fare best as mood improves across all markets though not for Big Oil,European shares surged on Friday as renewed hopes for a diplomatic breakthrough in the Middle East dragged oil prices lower and injected fresh optimism into the market. Sentiment was also buoyed as E… [+3535 chars],63,112
2026-06-12,Financial Post,European Stocks Flirt With Record High on Hopes for US-Iran Deal,"European stocks ended the week near a record high, as oil fell on speculation a deal between the US and Iran to reopen the Strait of Hormuz is near.","(Bloomberg) European stocks ended the week near a record high, as oil fell on speculation a deal between the US and Iran to reopen the Strait of Hormuz is near. 
THIS CONTENT IS RESERVED FOR SUBSCRI… [+4517 chars]",64,148
2026-06-12,Aluxurytravelblog.com,"8 incredible destinations you can visit with 100,000 Avios","For many Avios collectors, 100,000 points feels like a significant milestone. It’s enough to turn everyday spending, credit card...
The post 8 incredible destinations you can visit with 100,000 Avios appeared first on A Luxury Travel Blog.","For many Avios collectors, 100,000 points feels like a significant milestone. It’s enough to turn everyday spending, credit card bonuses and a few flights with British Airways, Iberia, or any of the … [+11623 chars]",58,239
2026-06-12,The Atlantic,The Boeing 747 Begins Its Final Descent,The jet was perhaps the pinnacle of American engineering excellence. Its retirement signals an end to an era of American culture—and ambition.,"I. The BoneyardThrough the heat haze, airplane tails rose from the desert. As I steered off the interstate toward Pinal Airpark, in Marana, Arizona, I got my first view of a corpse in full: a stark-w… [+27355 chars]",39,142
2026-06-12,Mediatakeout.com,Royal Biographer Says Ex-Prince Andrew Was “Completely Shameless”,"Former British Prince Andrew Mountbatten Windsor is back in the headlines after royal biographer Andrew Lownie accused him of “shameless” behavior toward a flight attendant. Lownie, who wrote Entitled: The Rise and Fall of the House of York, made the allegati…","Former British Prince Andrew Mountbatten Windsor is back in the headlines after royal biographer Andrew Lownie accused him of shameless behavior toward a flight attendant.
Lownie, who wrote Entitled… [+1368 chars]",65,260
2026-06-11,Viewfromthewing.com,British Airways Put Up Flight Attendants In London Hotels. Now The U.K. Demands $7.8 Million In Tax,British Airways is fighting a U.K. tax demand over London hotel rooms provided to flight attendants between back-to-back trips. The dispute turns on whether the rooms were necessary operational rest or taxable lodging near the crew’s normal base. The U.K. gov…,"The U.K. government is demandng £5.8 million (US$7.8 million) in taxes that it says the British government owes on flight attendant hotel stays near London Heathrow airport. 
The case, HMRC v Britis… [+2962 chars]",99,260
2026-06-11,Dailymail.com,British Airways and American Express announce Avios-only flight to New York - with no payment required,"American Express and British Airways have announced an exclusive one-off Avios-only anniversary flight to New York, celebrating 25 years of partnership.","British Airways and American Express are launching an Avios-Only flight from London Heathrow to New York JFK.  
Departing on 15 October 2026 and returning on 18 October 2026, the one-off flight will… [+2953 chars]",102,152
2026-06-11,Dailymail.com,"Savvy Brit reveals how she's following England state to state on World Cup trip for only £3,100 - with flights costing just £150","With news of travel to the World Cup reaching extortionate prices, one clever Brit has created her own travel plan.","A savvy Brit spent just £3,100 on her World Cup trip following England state to state with her flights costing just £150.
Sammie Bell has been following the Three Lions home and away for the last 20… [+2927 chars]",128,115
2026-06-11,Dailymail.com,Emirates offering insurance to tempt passengers back to Dubai despite Foreign Office advice against flying there,"Emirates President Tim Clark confirmed the carrier will guarantee passengers a flight home, even booking them on rival carriers if necessary, to prevent anyone from being stranded.","While governments worldwide warn against travel to the Middle East, Emirates is pulling out all the stops to bring passengers back to Dubai. 
For a city that had been hoping to welcome a record 20 m… [+4191 chars]",112,180
2026-06-11,OilPrice.com,Oil Prices Spike as Iran Declares Strait of Hormuz Closed,"Oil prices surged again in early Asian trade on Thursday after Iran declared the Strait of Hormuz closed following a fresh round of U.S. strikes on the country. At the time of writing, Brent crude had climbed 2.26% to trade at $95.20 per barrel, while West Te…","British Airways says airfares will…
The U.S. is trying to…
Set us as your preferred Google source
By Josh Owens - Jun 10, 2026, 9:01 PM CDTOil prices surged again in early Asian trade on Thursday … [+2711 chars]",57,260
2026-06-10,Frequentmiler.com,Qatar business class open from US – Doha starting in August 2026,"Qatar Airways will be restarting service from Philadelphia to Doha this August, which has caused a decent bit of business class availability to open up between August of this year and through Spring, 2027. Flights to Doha can be had for 70,000 Avios one-way a…","Qatar Airways will be restarting service from Philadelphia to Doha this August, which has caused a decent bit of business class availability to open up between August of this year and through Spring,… [+2415 chars]",64,260
2026-06-10,Paddle Your Own Kanoo,United Airlines is Reportedly Working On a New Economy Product With a Blocked Middle Seat to Reduce Flight Attendant Requirements,United Airlines is reportedly working on a new Economy product that uses a fixed tray table to block out the middle seat in a row of three in order to reduce the number of flight attendants that are required to work on its soon-to-debut ‘Coastliner’ Airbus A3…,United Airlines is reportedly working on a new Economy product that uses a fixed tray table to block out the middle seat in a row of three in order to reduce the number of flight attendants that are … [+3743 chars],129,260
2026-06-10,Anglotopia.net,Great British Icons: Concorde,"The Failed Dream of Supersonic Travel Key Facts A Joint British and French development Flew London to New York in just over 3 hours Flew Paris to New York in 3.5 hours at a speed of 1,300 mph Flew commercially between 1976 and 2003 Failed because of changes i…","Key Facts
<ul><li>A Joint British and French development</li><li>Flew London to New York in just over 3 hours</li><li>Flew Paris to New York in 3.5 hours at a speed of 1,300 mph</li><li>Flew commerc… [+15973 chars]",29,260
2026-06-10,Retail Dive,How retailers are building more resilient delivery networks in 2026,"Retailers are rethinking parcel delivery strategies to improve speed, predictability and cost control.","For most of the past decade, the central logistics question for an e-commerce operations chief was straightforward: which of the major carriers gets the volume? In 2026, the calculus has changed. Ris… [+5088 chars]",67,102
